Item Description,SKU,Qty,Unit Price (USD),Total (USD)
GT2 Timing Pulley 16/20 Teeth (20 teeth-Width 6mm-bore 8mm/10pcs),WCL000020*10,1,$7.21,7.21
BIQU H2 V2S Lite Extruder Complete Kit,1060000581,1,$58.06,58.06
GT2-6mm Open Timing Belt (Rubber Black/6MM/10m),3020040150*10,1,$9.48,9.48
BIQU Nema17 c42 motor CNC stepper motor (Length 33mm),3010080001,3,$11.80,35.39
BIGTREETECH Eddy Duo (Support USB or CAN),1060000710,1,$19.64,19.64
Flexible shaft Coupler 58mm (58/Black/4pcs),3010050224*4,1,$6.64,6.64
BIGTREETECH TFT35 SPI V2.1 Touch Screen for CB1,1040000035,1,$14.29,14.29
BIGTREETECH Manta E3EZ V1.0 + 5pcs EZ2209 + CB1 V2.2,1020000405+...,1,$58.90,58.9
Wires,_____,4,_____,13.58
T8 Lead Screw THSL-300-8D Trapezoidal Rod,_____,2,$7.04,7.04
Meanwell PSU 350W,_____,1,$40.34,40.34
Linear Rails,_____,3,$18.81,56.43
Heat bed 235x235,_____,1,$22.64,22.64
Steel --- from my grandpas garage,_____,_____,_____,35
TOTAL:,,,,384.64
